Site	Latitude	Longitude	Earliest Age	Latest Age	Fauna
Colombia (Ware Fm.)	11.19	-74.85	3.6	2.589	Other sharks
Comté de Monmouth	40.288	-74.158	56	33.901	Orectolobiformes
Costa Rica (Alto Guayacán)	10.04	-83.545	11.62	2.589	Orectolobiformes
Costa Rica (Alto Guayacán)	10.04	-83.545	8.56	4.721	Other sharks
Costa Rica (Curré Fm.)	9.55	-83.8	11.62	5.334	Other sharks
Costa Rica (Punta Judas Fm.)	9.51	-84.53	15.97	11.621	Other sharks
Costa Rica (Rio Banano)	10.04	-83.03	11.62	5.334	Other sharks
Crimea (Ak-kaja)	45.06	34.57	47.8	41.001	Other sharks
Crimea (Bachthisarai)	44.75	33.84	41.3	33.901	Other sharks
Daba’a Fm.	31.02	28.44	38	33.901	Other sharks
Dainenji Fm.	37.22	140.98	5.333	3.601	Other sharks
Dhofar	21	57.004	33.9	28.101	Orectolobiformes
Dos Bocas Fm. (Montañita-Olón)	-1.815	-80.757	23.9	22.3	Both
Drazinda Shale Mb. (Kirthar Fm.)	33.672	73.044	38	33.901	Both
Dry Branch Fm.	34.652	-80.689	38	33.901	Orectolobiformes
Duho Fm.	36.18	129.29	15.97	11.621	Other sharks
Egem Sand Mb. 21	51.015	3.259	56	47.801	Orectolobiformes
Egem Sand Mb. 5	51.015	3.259	56	47.801	Orectolobiformes
Egemkapel Clay Mb.	51.012	3.24	56	47.801	Orectolobiformes
El Muaco Mb, Caujarao Fm	11.48	-69.65	11.63	7.251	Other sharks
El-Ferriol	37.61	-0.927	20.44	15.971	Orectolobiformes
ElGedida (Lut)	29.2	25.56	47.8	41.001	Other sharks
ElGedida (Lut)	30.632	31.939	47.8	41.001	Orectolobiformes
England (Barton Clay Fm.)	51.967	-0.426	47.8	41.001	Orectolobiformes
England (Bracklesham Group)	50.762	-0.859	47.8	41.001	Orectolobiformes
Fishburne Fm (S. Carolina)	32.959	-80.347	56	47.801	Orectolobiformes
Fisher/Sullivan Site	38.421	-77.457	56	47.801	Both
Gaiman Fm	-42.69	-65.57	23.03	15.971	Other sharks
Ganntour	32.159	-8.405	47.8	41.001	Orectolobiformes
Ganntour Basin, Sillon F	32.239	-7.958	56	47.801	Orectolobiformes
