it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	tot_length
10760000	-961.7634313741975	-130.0807883359793	-831.6826430382182	184.459295810202	0.0	1.2409718545980828	13.723688829031373	0.18691883918920507	0.22946740240150176	0.1517844862666514	0.13079128229349857	0.12518486370512605	0.1696894009473538	0.16840404708633414	0.29664945935175124	0.027605841135428376	0.04127474825149092	0.5863857378109611	0.035023231319737266	0.20974404878947614	0.28831699173131287	0.11230814411157791	0.26628587914967267	0.16349526912314438	0.059467652787926366	0.19282340918456575	0.286776457349466	0.19389921696350007	0.10736759846399113	0.42416422179477264	0.04969556310582866	0.07225895627034193	0.004625025618325428	1109.800449283075
10780000	-961.2381951081493	-129.75691304380214	-831.4812820643472	184.459295810202	0.0	5.974935146490298	19.290210100649222	0.15359742212659827	0.18411680881878714	0.3828041654176192	0.13951641849438884	0.16524794650259939	0.20343526817450208	0.10189162253450885	0.2110284947336699	0.018849970918467327	0.2614403132975865	0.30203440840110574	0.012439631978299238	0.18244813861010734	0.21091796605035612	0.13095974418721087	0.11904358617631658	0.14408172709538503	0.06332618214984473	0.13652099613882251	0.2853905698456414	0.16281530039067654	0.11834389403384783	0.651982497533395	0.10057812374677096	0.11230034930951115	0.017565961602539006	1109.800449283075
10800000	-956.9541741026767	-129.7886510376976	-827.1655230649791	184.459295810202	0.0	15.091417173485532	13.173373980896605	0.16204332797303547	0.14312387271081684	0.2482794537472824	0.18573430426739346	0.07486771507020575	0.1498635251936224	0.12531092600772598	0.25161918090257873	0.012039944477961834	0.06859576373296934	0.29325740508206155	0.05134253517360058	0.24105466291964678	0.19846736502809914	0.15147283468186543	0.23187334281909192	0.20037578841695955	0.07641267904384505	0.18462417476289344	0.34842479233055723	0.14901623203572573	0.07745821182725243	0.5417612198112496	0.20669169852832622	0.07496447543059476	0.023007561260593244	1109.800449283075
10820000	-957.4350220302533	-129.10009739359785	-828.3349246366555	184.459295810202	0.0	6.649172387758091	16.442856732316304	0.15002045561023378	0.22758735030826208	0.2270518725875598	0.19870663266014643	0.1469792583792931	0.12088950063347215	0.13852656498461516	0.23229716803632092	0.028893752134596	0.30417352980998313	0.35985897716992743	0.01866369783573819	0.2168403433123776	0.12721031374529357	0.11886402057844582	0.21797228891338224	0.11327013049497028	0.06841568701558866	0.17583545205664813	0.23256026134741492	0.14194123253484023	0.07211651119077724	0.7927183283007316	0.18752846488687813	0.03136571667336262	0.004255383220308634	1109.800449283075
10840000	-962.8399501618546	-129.37489727220458	-833.46505288965	184.459295810202	0.0	13.934586249396714	9.374950268896644	0.1265154686762716	0.248357426440492	0.25381524905015596	0.22647827349225821	0.14884576296338192	0.19145528718547483	0.14228571482160796	0.2529292471282605	0.019865016111450622	0.07734619888489451	0.15751860235882367	0.032545431592287205	0.23406880739708755	0.1140622407276725	0.11653998869248416	0.3315024259270626	0.15264541919432106	0.09173094107772459	0.17614424981776006	0.36656701632333205	0.08166340247043873	0.13490159991681797	0.761087594029423	0.06498185929898066	0.08908852766833283	0.031471228744089724	1109.800449283075
10860000	-959.1959036195477	-129.8497536058186	-829.3461500137291	184.459295810202	0.0	3.6686123546985505	1.010261951567073	0.20310643850409577	0.16089841044717174	0.3153699744488161	0.18575009722443353	0.11469643197687773	0.20650013130342876	0.19704121664158952	0.24506682858110587	0.017770454567809447	0.13913477678309968	0.31143057272442826	0.04189563566531238	0.18508003846965648	0.17783512072106236	0.1592443668886338	0.35640353366772604	0.17230734000873327	0.055467543673187354	0.1840016022560255	0.34218241091875934	0.1455767416871441	0.09768620227399669	0.4425570457144827	0.004156577312175949	0.03728928488545314	0.006131480290831194	1109.800449283075
10880000	-954.9119363989203	-129.8880266725344	-825.0239097263859	184.459295810202	0.0	1.8572247385916896	0.1349674062357943	0.15665044365369168	0.09146656663173847	0.24709521556773417	0.17264280937766413	0.10224498906882881	0.15675335344554236	0.07772939897631542	0.2522197801102338	0.02526409940933737	0.018399758209789976	0.15096540715338633	0.03394387988810539	0.2346965597479023	0.17502239473551248	0.1293808239017212	0.18377694665131378	0.17525918398977244	0.06060053996008962	0.15637017698080405	0.26979753493932024	0.1146204881070311	0.07504757167545625	0.5218820993713895	0.011021504973190106	0.03043747855414701	0.00963912237120656	1109.800449283075
10900000	-959.8184900323954	-129.81219860221594	-830.0062914301794	184.459295810202	0.0	3.4302544440879674	0.09144238805906457	0.13724110863793673	0.20409703379274874	0.2017051792033202	0.11366395458064793	0.09488703309115455	0.14014668359943538	0.06750243742478665	0.24474280487501782	0.009134811714734244	0.06857333246858524	0.20014839610897306	0.025185368534323085	0.2244849731368054	0.162037442471112	0.15991131543738857	0.31633062260526684	0.18790217715958185	0.06391534435362947	0.28359691808364007	0.32729884996606545	0.1391082288669538	0.05624926662356723	0.8796542606575183	0.10714111982840428	0.04026023870844263	0.004072222316572812	1109.800449283075
10920000	-960.3321338480491	-129.4307567164942	-830.9013771315549	184.459295810202	0.0	7.753452606209829	1.4342415814896217	0.16844100921155436	0.2574211559072225	0.24759523007569975	0.15970970677613264	0.15351161240033198	0.13430382658225154	0.17824351286490703	0.25936209046942343	0.03759971374519803	0.03956472354272883	0.3030054150877176	0.05387587865889665	0.24671233708932733	0.18328197805895355	0.1273834641814575	0.32678986194999526	0.12890456933353608	0.06616394790364935	0.15950882733106375	0.25667745861481966	0.10804080363503149	0.11660082293802612	0.40076638816133336	0.3603070232622389	0.12749864595689597	0.01052441029374926	1109.800449283075
10940000	-963.4954892234347	-129.32646387964178	-834.1690253437929	184.459295810202	0.0	17.79856845834984	19.761766386096372	0.1972137301603157	0.178246982552153	0.27673611335170784	0.11102799679067105	0.09568484598250333	0.1698288018397788	0.1203315077423165	0.2264607619528644	0.022713247073010524	0.029246481167434307	0.4758261753881303	0.012124519837681584	0.21232439819811702	0.2056240085768448	0.11093707400642652	0.5390530125370661	0.08116225738109487	0.07023877423289629	0.15337745951402568	0.40423473575628827	0.14185122920396828	0.1271182378091684	0.5773775762603278	0.12179089950053082	0.11059627990234572	0.008204148922380795	1109.800449283075
