Species	Status	MinT	MaxT
Hemiscyllium_hermani	 extinct	72.101	76.4
Hemiscyllium_tailledisensis	 extinct	38.001	41
Hemiscyllium_tailledisensis	 extinct	41.001	47.8
Hemiscyllium_tailledisensis	 extinct	41.001	47.8
Heterophorcynus_microdon	 extinct	166.101	168.3
Hologinglymostoma_jaegeri	 extinct	56.001	59.2
Magistrauia_unicaplicata	 extinct	134.701	139.4
Mesiteia_emiliae	 extinct	93.901	100.5
Nebrius_bequaerti	 extinct	61.601	66
Nebrius_bequaerti	 extinct	61.601	66
Nebrius_bequaerti	 extinct	61.601	66
Nebrius_bequaerti	 extinct	56.001	59.2
Nebrius_bequaerti	 extinct	59.201	61.6
Nebrius_obliquus	 extinct	28.101	38
Nebrius_obliquus	 extinct	33.901	38
Nebrius_obliquus	 extinct	33.901	38
Nebrius_obliquus	 extinct	33.901	38
Nebrius_obliquus	 extinct	38.001	41
Nebrius_obliquus	 extinct	38.001	41
Nebrius_obliquus	 extinct	33.901	56
Nebrius_obliquus	 extinct	33.901	56
Nebrius_obliquus	 extinct	41.301	56
Nebrius_obliquus	 extinct	41.301	56
Nebrius_obliquus	 extinct	47.801	56
Nebrius_obliquus	 extinct	47.801	56
Nebrius_obliquus	 extinct	47.801	56
Nebrius_obliquus	 extinct	47.801	56
Nebrius_obliquus	 extinct	47.801	56
Nebrius_obliquus	 extinct	47.801	56
Nebrius_obliquus	 extinct	47.801	56
Nebrius_obliquus	 extinct	33.901	41.3
Nebrius_obliquus	 extinct	38.001	47.8
Nebrius_obliquus	 extinct	38.001	47.8
Nebrius_obliquus	 extinct	38.001	47.8
Nebrius_obliquus	 extinct	41.001	47.8
Nebrius_obliquus	 extinct	41.001	47.8
Nebrius_obliquus	 extinct	41.001	47.8
Nebrius_obliquus	 extinct	41.001	47.8
Nebrius_obliquus	 extinct	41.001	47.8
Nebrius_obliquus	 extinct	41.001	47.8
Nebrius_obliquus	 extinct	41.001	47.8
Nebrius_obliquus	 extinct	55.861	56.78
Nebrius_thielensi	 extinct	38.001	41
Nebrius_thielensi	 extinct	47.801	56
Nebrius_thielensi	 extinct	47.801	56
Nebrius_thielensi	 extinct	47.801	56
Nebrius_thielensi	 extinct	47.801	56
Nebrius_thielensi	 extinct	47.801	56
Nebrius_thielensi	 extinct	41.001	47.8
Nebrius_thielensi	 extinct	41.001	47.8
Nebrius_thielensi	 extinct	41.001	47.8
Nebrius_thielensi	 extinct	41.001	47.8
Nebrius_thielensi	 extinct	47.801	50.5
Nebrius_thielensi	 extinct	50	55.7
Notoramphoscyllium_woodwardi	 extinct	41	42.5
Notoramphoscyllium_woodwardi	 extinct	51	52.5
Orecto gen. nov.1 standhardtae	 extinct	61.601	66
Orecto gen. nov.2 muftius	 extinct	163.101	166.1
Orectoloboides_angulatus	 extinct	93.901	96.2
Orectoloboides_multistriatus	 extinct	93.901	100.5
Orectoloboides_multistriatus	 extinct	93.901	95.5
Orectoloboides_parvulus	 extinct	100.501	113
Orectoloboides_parvulus	 extinct	110.201	113
Orectoloboides_parvulus	 extinct	110.201	113
Orectoloboides_parvulus	 extinct	100.501	107.6
Orectoloboides_parvulus	 extinct	100.501	110.2
Orectoloboides_parvulus	 extinct	107.601	110.2
Orectoloboides_reyndersi	 extinct	38.001	41
Orectoloboides_reyndersi	 extinct	41.001	47.8
Orectolobus_gippslandicus	 extinct	15.971	28.1
Orectolobus_gippslandicus	 extinct	3.601	5.333
Orectolobus_ziegenhinei	 extinct	41.001	47.8
Ornatoscyllium_freemani	 extinct	166.101	168.3
Ornatoscyllium_glashoffi	 extinct	113.001	126.3
Ornatoscyllium_pattersoni	 extinct	163.101	166.1
Ornatoscyllium_rugasimulatum	 extinct	134.701	139.4
Ornatoscyllium_rugasimulatum	 extinct	134.701	139.4
Palaeobrachaelurus_alisonae	 extinct	163.101	166.1
Palaeobrachaelurus_alisonae	 extinct	174.201	183.7
Palaeobrachaelurus_alisonae	 extinct	174.201	183.7
Palaeobrachaelurus_aperizostus	 extinct	170.301	174.2
Palaeobrachaelurus_aperizostus	 extinct	174.201	183.7
Palaeobrachaelurus_aperizostus	 extinct	174.201	183.7
Palaeobrachaelurus_bedfordensis	 extinct	163.101	166.1
Palaeobrachaelurus_mitchelli	 extinct	126.301	130.8
Palaeobrachaelurus_mussetti	 extinct	166.101	168.3
Palaeocarcharias_stromeri	 extinct	139.401	145
Palaeocarcharias_stromeri	 extinct	147.701	152.1
Palaeocarcharias_stromeri	 extinct	147.701	152.1
Palaeocarcharias_stromeri	 extinct	147.701	152.1
Palaeocarcharias_stromeri	 extinct	152.101	157.3
Palaeorectolobus_agomphius	 extinct	147.701	152.1
Palaeorhincodon_daouii	 extinct	56.001	59.2
Palaeorhincodon_dartevellei	 extinct	47.801	56
Palaeorhincodon_dartevellei	 extinct	47.801	56
Palaeorhincodon_dartevellei	 extinct	47.801	56
Palaeorhincodon_dartevellei	 extinct	47.801	56
Palaeorhincodon_dartevellei	 extinct	55.861	56.78
Palaeorhincodon_wardi	 extinct	47.801	56
Palaeorhincodon_wardi	 extinct	47.801	56
Palaeorhincodon_wardi	 extinct	47.801	56
Palaeorhincodon_wardi	 extinct	38.001	47.8
Palaeorhincodon_wardi	 extinct	41.001	47.8
Palaeorhincodon_wardi	 extinct	41.001	47.8
Palaeorhincodon_wardi	 extinct	41.001	47.8
Palaeorhincodon_wardi	 extinct	41.001	47.8
Palaeorhincodon_wardi	 extinct	47.801	50.5
Palaeorhincodon_wardi	 extinct	50	55.7
Paraginglymostoma_bloti	 extinct	66.001	72.1
Parahemiscyllium_underwoodwardi	 extinct	134.701	139.4
Pararhincodon_crochardi	 extinct	72.101	76.4
Pararhincodon_crochardi	 extinct	72.101	76.4
Pararhincodon_crochardi	 extinct	72.101	76.4
Pararhincodon_crochardi	 extinct	80.601	83.6
Pararhincodon_crochardi	 extinct	80.601	83.6
Pararhincodon_crochardi	 extinct	80.601	83.6
Pararhincodon_crochardi	 extinct	80.601	83.6
Pararhincodon_crochardi	 extinct	83.601	85.8
Pararhincodon_crochardi	 extinct	83.601	85.8
Pararhincodon_crochardi	 extinct	83.601	86.3
Pararhincodon_crochardi	 extinct	91.401	92.9
Pararhincodon_germaini	 extinct	38.001	41
Pararhincodon_germaini	 extinct	41.001	47.8
Pararhincodon_germaini	 extinct	41.001	47.8
Pararhincodon_groessensi	 extinct	61.601	66
Pararhincodon_groessensi	 extinct	61.601	66
Pararhincodon_groessensi	 extinct	61.601	66
Pararhincodon_groessensi	 extinct	66.001	70.1
Pararhincodon_groessensi	 extinct	66.001	70.1
Pararhincodon_lehmani	 extinct	93.901	100.5
Pararhincodon_lehmani	 extinct	96.201	100.5
Pararhincodon_lehmani	 extinct	100.501	110.2
Pararhincodon_ornatus	 extinct	72.101	76.4
Pararhincodon_ornatus	 extinct	72.101	76.4
Pararhincodon_ornatus	 extinct	72.101	76.4
Pararhincodon_ornatus	 extinct	72.101	76.4
Pararhincodon_ornatus	 extinct	80.601	83.6
Pararhincodon_ornatus	 extinct	80.601	83.6
Pararhincodon_ornatus	 extinct	80.601	83.6
Pararhincodon_ornatus	 extinct	80.601	83.6
Pararhincodon_ornatus	 extinct	80.601	83.6
Pararhincodon_ornatus	 extinct	83.601	85.8
Pararhincodon_ornatus	 extinct	83.601	85.8
Pararhincodon_ornatus	 extinct	83.601	85.8
Pararhincodon_ornatus	 extinct	83.601	86.3
Pararhincodon_ornatus	 extinct	91.401	92.9
Pararhincodon_ypresiensis	 extinct	47.801	56
Pararhincodon_ypresiensis	 extinct	47.801	56
Pararhincodon_ypresiensis	 extinct	47.801	56
Pararhincodon_ypresiensis	 extinct	47.801	56
Phorcynis_catulina	 extinct	145.001	152.1
Phorcynis_catulina	 extinct	145.001	152.1
Phorcynis_catulina	 extinct	152.101	157.3
Plicatoscyllium_antiquum	 extinct	66.001	70.1
Plicatoscyllium_antiquum	 extinct	66.001	72.1
Plicatoscyllium_antiquum	 extinct	66.001	72.1
Plicatoscyllium_antiquum	 extinct	66.001	83.6
Plicatoscyllium_derameei	 extinct	66.001	70.1
Plicatoscyllium_derameei	 extinct	66.001	72.1
Plicatoscyllium_derameei	 extinct	66.001	72.1
Plicatoscyllium_derameei	 extinct	66.001	72.1
Plicatoscyllium_derameei	 extinct	66.001	72.1
Plicatoscyllium_derameei	 extinct	70.101	72.1
Plicatoscyllium_gharbii	 extinct	66.001	70.1
Plicatoscyllium_gharbii	 extinct	66.001	70.1
Plicatoscyllium_gharbii	 extinct	66.001	70.1
Plicatoscyllium_gharbii	 extinct	70.101	72.1
Plicatoscyllium_gharbii	 extinct	70.101	72.1
Plicatoscyllium_globidens	 extinct	70.101	72.1
Plicatoscyllium_globidens	 extinct	70.101	72.1
Plicatoscyllium_globidens	 extinct	72.101	76.4
Plicatoscyllium_globidens	 extinct	72.101	76.4
Plicatoscyllium_globidens	 extinct	72.101	76.4
