Order	Family	Genus	Species	Reported as	Earliest Age	Latest Age	Stratigraphic age	Country	Paleobiogeography_all	Paleobiogeography	Latitude	Longitude	References
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens	Cantioscyllium spp.	100.5	96.201	Cenomanian (Lower)	France	Tethys	Tethys	45.7145725	0.2050544	Vullo et al. (2007)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens	Cantioscyllium spp.	100.5	96.201	Cenomanian (Lower)	France	Tethys	Tethys	45.9609834	-0.8223663	Vullo et al. (2007); Landemaine (1991)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens		100.5	93.901	Cenomanian	United Kingdom	Tethys	Tethys	51.627493	0.798211	Woodward (1889d); Woodward (1894)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens		89.8	86.301	Coniacian	United Kingdom	Tethys	Tethys	54.9526509	-5.9279527	Underwood & Ward (2008); Guinot et al. (2012a-b, 2013)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens		92.9	91.401	Turonian (Middle)	France	Tethys	Tethys	49.59698	4.32453	Guinot et al. (2012a-b, 2013)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens		92.9	91.401	Turonian (Middle)	France	Tethys	Tethys	50.3236643	3.7408162	Herman (1977)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens		95.5	93.901	Cenomanian (Upper)	France	Tethys	Tethys	50.3236643	3.7408162	Herman (1977)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens		95.5	93.901	Cenomanian (Upper)	France	Tethys	Tethys	45.5554507	0.020148	Vullo et al. (2007)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium decipiens		95.5	93.901	Cenomanian (Upper)	Germany	Tethys	Tethys	50.9295798	13.4585052	Fischer et al. (2017)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium estesi		70.1	66.001	Maastrichtian (Upper)	United States	Western Atlantic	Outside_Tethys	48.577904	-114.15189	Estes (1969); Kelly (1994)
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium estesi		70.6	66.001	Lancian	United States	Western Atlantic	Outside_Tethys	43.0324679	-104.6419032	Herman (1977)
