Family	Genus	Species	latitude	longitude
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.4328459088	152.5345982799
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8001706709	151.2953466042
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8005496	151.2979212
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0604992986	151.1587192568
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7128386928	152.1561960685
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0600273545	151.1593727308
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.060064053	151.1588390203
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0601938238	151.1594490565
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.83999469	151.2537424497
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0597408149	151.1591621346
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-31.6399556582	152.8387914714
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7091007104	152.1592133548
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8000770245	151.2948074808
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.84437	151.28636
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7100904259	152.1588145963
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.6796908005	152.2352806886
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.6796908005	152.2352806886
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.059730093	151.1607693549
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0604085287	151.1585951558
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7143178214	152.1508579749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8003923825	151.2941458788
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7100904259	152.1588145963
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7100904259	152.1588145963
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-35.3494733913	150.47990308
