Species	Status	MinT	MaxT
Eostegostoma	extinct	38.001	47.8
Eostegostoma	extinct	38.001	47.8
Eostegostoma	extinct	41.001	47.8
Eostegostoma	extinct	41.001	47.8
Eostegostoma	extinct	41.001	47.8
Eostegostoma	extinct	41.001	47.8
Eostegostoma	extinct	47.801	50.5
Eostegostoma	extinct	33.901	38
Eostegostoma	extinct	61.601	66
Eostegostoma	extinct	28.101	33.9
Eostegostoma	extinct	38.001	47.8
Eostegostoma	extinct	41.001	47.8
Eostegostoma	extinct	41.001	47.8
Eostegostoma	extinct	41.001	47.8
Eostegostoma	extinct	56.001	59.2
Eostegostoma	extinct	56.001	59.2
Eostegostoma	extinct	56.001	59.2
Eostegostoma	extinct	56.001	59.2
Folipistrix	extinct	170.301	174.2
Folipistrix	extinct	174.201	183.7
Ganntouria	extinct	66.001	70.1
Ganntouria	extinct	66.001	70.1
Ganntouria	extinct	66.001	70.1
Garrigascyllium	extinct	134.701	139.4
Ginglymostoma	extant	47.801	56
Ginglymostoma	extant	47.801	56
Ginglymostoma	extant	41.001	47.8
Ginglymostoma	extant	41.001	47.8
Ginglymostoma	extant	41.001	47.8
Ginglymostoma	extant	41.001	47.8
Ginglymostoma	extant	41.001	47.8
Ginglymostoma	extant	41.001	47.8
Ginglymostoma	extant	66.001	70.1
Ginglymostoma	extant	66.001	70.1
Ginglymostoma	extant	66.001	70.1
Ginglymostoma	extant	66.001	70.1
Ginglymostoma	extant	66.001	70.1
Ginglymostoma	extant	66.001	72.1
Ginglymostoma	extant	70.101	72.1
Ginglymostoma	extant	56.001	59.2
Ginglymostoma	extant	0.0119	0.126
Ginglymostoma	extant	66.001	70.1
Ginglymostoma	extant	59.201	61.6
Ginglymostoma	extant	15.971	23.03
Ginglymostoma	extant	15.971	23.03
Ginglymostoma	extant	15.971	23.03
Ginglymostoma	extant	5.334	23.03
Ginglymostoma	extant	5.334	23.03
Ginglymostoma	extant	2.589	11.62
Ginglymostoma	extant	11.621	15.97
Ginglymostoma	extant	11.621	15.97
Ginglymostoma	extant	13.821	15.97
Ginglymostoma	extant	13.821	15.97
Ginglymostoma	extant	13.821	15.97
Ginglymostoma	extant	15.971	20.44
Ginglymostoma	extant	15.971	20.44
Ginglymostoma	extant	2.589	5.333
Ginglymostoma	extant	66.001	70.1
Ginglymostoma	extant	59.201	66
Ginglymostoma	extant	61.601	66
Ginglymostoma	extant	55.861	56.78
Ginglymostoma	extant	56.001	59.2
Ginglymostoma	extant	56.001	59.2
Ginglymostoma	extant	47.801	56
Ginglymostoma	extant	41.301	56
Ginglymostoma	extant	47.801	56
Ginglymostoma	extant	47.801	56
Ginglymostoma	extant	50	55.7
Ginglymostoma	extant	66.001	70.1
Ginglymostoma	extant	66.001	70.1
Ginglymostoma	extant	66.001	70.1
Ginglymostoma	extant	66.001	70.1
Ginglymostoma	extant	66.001	72.1
Ginglymostoma	extant	15.971	23.03
Ginglymostoma	extant	2.589	23.03
Ginglymostoma	extant	15.971	20.44
Ginglymostoma	extant	56.001	59.2
Ginglymostoma	extant	56.001	59.2
Ginglymostoma	extant	56.001	59.2
Ginglymostoma	extant	56.001	59.2
Ginglymostoma	extant	28.101	38
Ginglymostoma	extant	38.001	41
Ginglymostoma	extant	38.001	41
Ginglymostoma	extant	23.031	28.1
Ginglymostoma	extant	11.631	13.82
Ginglymostoma	extant	11.621	15.97
Ginglymostoma	extant	15.971	20.44
Ginglymostoma	extant	28.101	33.9
Ginglymostoma	extant	28.101	33.9
Ginglymostoma	extant	47.801	50.5
Ginglymostoma	extant	54.171	55.81
Ginglymostoma	extant	55.861	56.78
Ginglymostoma	extant	55.861	56.78
Ginglymostoma	extant	55.961	57.1
Ginglymostoma	extant	56.001	59.2
Ginglymostoma	extant	66.001	70.1
Ginglymostoma	extant	66.001	70.1
Ginglymostoma	extant	66.001	70.1
Ginglymostoma	extant	66.001	72.1
Ginglymostoma	extant	66.001	72.1
Ginglymostoma	extant	70.101	72.1
Ginglymostoma	extant	70.101	72.1
Ginglymostoma	extant	86.301	89.8
Ginglymostoma	extant	61.601	66
Ginglymostoma	extant	61.601	66
Ginglymostoma	extant	61.601	66
Ginglymostoma	extant	61.601	66
Ginglymostoma	extant	61.601	66
Ginglymostoma	extant	61.601	66
Ginglymostoma	extant	61.601	66
Ginglymostoma	extant	61.601	66
Ginglymostoma	extant	59.201	61.6
Hemiscyllium	extant	47.801	56
Hemiscyllium	extant	41.001	47.8
Hemiscyllium	extant	41.001	47.8
Hemiscyllium	extant	41.001	47.8
Hemiscyllium	extant	61.601	66
Hemiscyllium	extant	61.601	66
Hemiscyllium	extant	61.601	66
Hemiscyllium	extant	61.601	66
Hemiscyllium	extant	61.601	66
Hemiscyllium	extant	66.001	70.1
Hemiscyllium	extant	72.101	76.4
Hemiscyllium	extant	72.101	76.4
Hemiscyllium	extant	72.101	76.4
Hemiscyllium	extant	72.101	76.4
Hemiscyllium	extant	33.901	38
Hemiscyllium	extant	38.001	41
Hemiscyllium	extant	47.801	56
Hemiscyllium	extant	38.001	47.8
Hemiscyllium	extant	41.001	47.8
Hemiscyllium	extant	41.001	47.8
Hemiscyllium	extant	66.001	70.1
Hemiscyllium	extant	66.001	70.1
Hemiscyllium	extant	66.001	72.1
Hemiscyllium	extant	70.101	72.1
Hemiscyllium	extant	70.101	72.1
Hemiscyllium	extant	70.101	72.1
Hemiscyllium	extant	72.101	76.4
Hemiscyllium	extant	72.101	76.4
Hemiscyllium	extant	38.001	41
Hemiscyllium	extant	41.001	47.8
Hemiscyllium	extant	41.001	47.8
Heterophorcynus	extinct	166.101	168.3
Hologinglymostoma	extinct	56.001	59.2
Hologinglymostoma	extinct	55.961	57.1
Magistrauia	extinct	134.701	139.4
Mesiteia	extinct	93.901	100.5
Nebrius	extant	61.601	66
Nebrius	extant	61.601	66
Nebrius	extant	61.601	66
Nebrius	extant	56.001	59.2
Nebrius	extant	59.201	61.6
Nebrius	extant	28.101	38
Nebrius	extant	33.901	38
Nebrius	extant	33.901	38
Nebrius	extant	33.901	38
Nebrius	extant	38.001	41
Nebrius	extant	38.001	41
Nebrius	extant	33.901	56
Nebrius	extant	33.901	56
Nebrius	extant	41.301	56
Nebrius	extant	41.301	56
Nebrius	extant	47.801	56
Nebrius	extant	47.801	56
Nebrius	extant	47.801	56
Nebrius	extant	47.801	56
Nebrius	extant	47.801	56
Nebrius	extant	47.801	56
Nebrius	extant	47.801	56
Nebrius	extant	33.901	41.3
Nebrius	extant	38.001	47.8
Nebrius	extant	38.001	47.8
Nebrius	extant	38.001	47.8
Nebrius	extant	41.001	47.8
Nebrius	extant	41.001	47.8
Nebrius	extant	41.001	47.8
Nebrius	extant	41.001	47.8
Nebrius	extant	41.001	47.8
Nebrius	extant	41.001	47.8
Nebrius	extant	41.001	47.8
Nebrius	extant	55.861	56.78
Nebrius	extant	33.901	38
Nebrius	extant	33.901	38
Nebrius	extant	33.901	38
Nebrius	extant	33.901	38
Nebrius	extant	38.001	41
Nebrius	extant	38.001	41
Nebrius	extant	38.001	41
Nebrius	extant	61.601	66
Nebrius	extant	15.971	23.03
Nebrius	extant	15.971	23.03
Nebrius	extant	5.334	23.03
Nebrius	extant	14.2	16.7
Nebrius	extant	7.247	13.82
Nebrius	extant	11.621	15.97
Nebrius	extant	13.821	20.44
Nebrius	extant	28.101	33.9
Nebrius	extant	41.001	47.8
Nebrius	extant	54.171	55.81
Nebrius	extant	55.861	56.78
Nebrius	extant	47.801	59.2
Nebrius	extant	56.001	59.2
Nebrius	extant	66.001	70.1
Nebrius	extant	38.001	41
Nebrius	extant	47.801	56
Nebrius	extant	47.801	56
Nebrius	extant	47.801	56
Nebrius	extant	47.801	56
Nebrius	extant	47.801	56
Nebrius	extant	41.001	47.8
Nebrius	extant	41.001	47.8
Nebrius	extant	41.001	47.8
Nebrius	extant	41.001	47.8
Nebrius	extant	47.801	50.5
Nebrius	extant	50	55.7
Notoramphoscyllium	extinct	41	42.5
Notoramphoscyllium	extinct	51	52.5
Orecto gen. nov.1	extinct	61.601	66
Orecto gen. nov.2	extinct	163.101	166.1
Orectolobiformes	extinct	152.101	157.3
Orectoloboides	extinct	93.901	96.2
Orectoloboides	extinct	93.901	100.5
Orectoloboides	extinct	93.901	95.5
Orectoloboides	extinct	100.501	113
Orectoloboides	extinct	110.201	113
Orectoloboides	extinct	110.201	113
Orectoloboides	extinct	100.501	107.6
Orectoloboides	extinct	100.501	110.2
Orectoloboides	extinct	107.601	110.2
Orectoloboides	extinct	38.001	41
Orectoloboides	extinct	41.001	47.8
Orectoloboides	extinct	23.031	28.1
Orectoloboides	extinct	23.031	28.1
Orectoloboides	extinct	95.501	96.2
Orectolobus	extant	15.971	28.1
Orectolobus	extant	3.601	5.333
Orectolobus	extant	15.971	23.03
Orectolobus	extant	41.001	47.8
Ornatoscyllium	extinct	166.101	168.3
Ornatoscyllium	extinct	113.001	126.3
Ornatoscyllium	extinct	163.101	166.1
Ornatoscyllium	extinct	134.701	139.4
Ornatoscyllium	extinct	134.701	139.4
Ornatoscyllium	extinct	157.301	163.1
Ornatoscyllium	extinct	174.201	183.7
Palaeobrachaelurus	extinct	163.101	166.1
Palaeobrachaelurus	extinct	174.201	183.7
Palaeobrachaelurus	extinct	174.201	183.7
Palaeobrachaelurus	extinct	170.301	174.2
Palaeobrachaelurus	extinct	174.201	183.7
Palaeobrachaelurus	extinct	174.201	183.7
Palaeobrachaelurus	extinct	163.101	166.1
Palaeobrachaelurus	extinct	126.301	130.8
Palaeobrachaelurus	extinct	166.101	168.3
Palaeobrachaelurus	extinct	113.001	126.3
Palaeobrachaelurus	extinct	152.101	157.3
Palaeobrachaelurus	extinct	157.301	163.1
Palaeobrachaelurus	extinct	163.101	166.1
Palaeobrachaelurus	extinct	163.101	166.1
Palaeobrachaelurus	extinct	163.101	166.1
Palaeobrachaelurus	extinct	166.101	168.3
Palaeobrachaelurus	extinct	168.301	170.3
Palaeobrachaelurus	extinct	170.301	174.2
Palaeocarcharias	extinct	139.401	145
Palaeocarcharias	extinct	147.701	152.1
Palaeocarcharias	extinct	147.701	152.1
Palaeocarcharias	extinct	147.701	152.1
Palaeocarcharias	extinct	152.101	157.3
Palaeorectolobus	extinct	147.701	152.1
Palaeorhincodon	extinct	56.001	59.2
Palaeorhincodon	extinct	47.801	56
Palaeorhincodon	extinct	47.801	56
Palaeorhincodon	extinct	47.801	56
Palaeorhincodon	extinct	47.801	56
Palaeorhincodon	extinct	55.861	56.78
Palaeorhincodon	extinct	38.001	41
Palaeorhincodon	extinct	47.801	56
Palaeorhincodon	extinct	41.001	47.8
Palaeorhincodon	extinct	56.001	59.2
Palaeorhincodon	extinct	47.801	56
Palaeorhincodon	extinct	47.801	56
Palaeorhincodon	extinct	47.801	56
Palaeorhincodon	extinct	38.001	47.8
Palaeorhincodon	extinct	41.001	47.8
Palaeorhincodon	extinct	41.001	47.8
Palaeorhincodon	extinct	41.001	47.8
Palaeorhincodon	extinct	41.001	47.8
Palaeorhincodon	extinct	47.801	50.5
Palaeorhincodon	extinct	50	55.7
Paraginglymostoma	extinct	66.001	72.1
Parahemiscyllium	extinct	134.701	139.4
Pararhincodon	extinct	72.101	76.4
Pararhincodon	extinct	72.101	76.4
Pararhincodon	extinct	72.101	76.4
Pararhincodon	extinct	80.601	83.6
Pararhincodon	extinct	80.601	83.6
Pararhincodon	extinct	80.601	83.6
Pararhincodon	extinct	80.601	83.6
Pararhincodon	extinct	83.601	85.8
Pararhincodon	extinct	83.601	85.8
Pararhincodon	extinct	83.601	86.3
Pararhincodon	extinct	91.401	92.9
Pararhincodon	extinct	38.001	41
Pararhincodon	extinct	41.001	47.8
Pararhincodon	extinct	41.001	47.8
Pararhincodon	extinct	61.601	66
Pararhincodon	extinct	61.601	66
Pararhincodon	extinct	61.601	66
Pararhincodon	extinct	66.001	70.1
Pararhincodon	extinct	66.001	70.1
Pararhincodon	extinct	93.901	100.5
Pararhincodon	extinct	96.201	100.5
Pararhincodon	extinct	100.501	110.2
Pararhincodon	extinct	72.101	76.4
Pararhincodon	extinct	72.101	76.4
Pararhincodon	extinct	72.101	76.4
Pararhincodon	extinct	72.101	76.4
Pararhincodon	extinct	80.601	83.6
Pararhincodon	extinct	80.601	83.6
Pararhincodon	extinct	80.601	83.6
Pararhincodon	extinct	80.601	83.6
Pararhincodon	extinct	80.601	83.6
Pararhincodon	extinct	83.601	85.8
Pararhincodon	extinct	83.601	85.8
Pararhincodon	extinct	83.601	85.8
Pararhincodon	extinct	83.601	86.3
Pararhincodon	extinct	91.401	92.9
Pararhincodon	extinct	33.901	38
Pararhincodon	extinct	33.901	38
Pararhincodon	extinct	33.901	38
Pararhincodon	extinct	61.601	66
Pararhincodon	extinct	61.601	66
Pararhincodon	extinct	93.901	100.5
Pararhincodon	extinct	96.201	100.5
Pararhincodon	extinct	96.201	100.5
Pararhincodon	extinct	100.501	107.6
Pararhincodon	extinct	100.501	107.6
Pararhincodon	extinct	38.001	47.8
Pararhincodon	extinct	56.001	59.2
Pararhincodon	extinct	56.001	59.2
Pararhincodon	extinct	66.001	72.1
Pararhincodon	extinct	70.101	72.1
Pararhincodon	extinct	72.101	83.6
Pararhincodon	extinct	72.101	83.6
Pararhincodon	extinct	86.301	89.8
Pararhincodon	extinct	89.801	91.4
Pararhincodon	extinct	93.901	95.5
Pararhincodon	extinct	47.801	56
Pararhincodon	extinct	47.801	56
Pararhincodon	extinct	47.801	56
Pararhincodon	extinct	47.801	56
Parascyllium	extant	41.001	47.8
Phorcynis	extinct	145.001	152.1
Phorcynis	extinct	145.001	152.1
Phorcynis	extinct	152.101	157.3
Phorcynis	extinct	147.701	152.1
Phorcynis	extinct	157.301	163.1
Plicatoscyllium	extinct	66.001	70.1
Plicatoscyllium	extinct	66.001	72.1
Plicatoscyllium	extinct	66.001	72.1
Plicatoscyllium	extinct	66.001	83.6
Plicatoscyllium	extinct	66.001	70.1
Plicatoscyllium	extinct	66.001	72.1
Plicatoscyllium	extinct	66.001	72.1
Plicatoscyllium	extinct	66.001	72.1
Plicatoscyllium	extinct	66.001	72.1
Plicatoscyllium	extinct	70.101	72.1
Plicatoscyllium	extinct	66.001	70.1
Plicatoscyllium	extinct	66.001	70.1
Plicatoscyllium	extinct	66.001	70.1
Plicatoscyllium	extinct	70.101	72.1
Plicatoscyllium	extinct	70.101	72.1
Plicatoscyllium	extinct	70.101	72.1
Plicatoscyllium	extinct	70.101	72.1
Plicatoscyllium	extinct	72.101	76.4
Plicatoscyllium	extinct	72.101	76.4
Plicatoscyllium	extinct	72.101	76.4
Plicatoscyllium	extinct	72.101	76.4
Plicatoscyllium	extinct	72.101	83.6
Plicatoscyllium	extinct	72.101	83.6
Plicatoscyllium	extinct	66.001	70.1
Plicatoscyllium	extinct	66.001	70.1
Plicatoscyllium	extinct	66.001	70.1
Plicatoscyllium	extinct	66.001	70.1
Plicatoscyllium	extinct	66.001	70.1
Plicatoscyllium	extinct	66.001	72.1
Plicatoscyllium	extinct	66.001	72.1
Plicatoscyllium	extinct	66.001	72.1
Plicatoscyllium	extinct	66.001	70.1
Plicatoscyllium	extinct	66.001	70.1
Plicatoscyllium	extinct	66.001	72.1
Plicatoscyllium	extinct	66.001	72.1
Plicatoscyllium	extinct	66.001	72.1
Plicatoscyllium	extinct	66.001	70.1
Plicatoscyllium	extinct	66.001	72.1
Plicatoscyllium	extinct	66.001	72.1
Plicatoscyllium	extinct	70.101	72.1
Plicatoscyllium	extinct	70.101	72.1
Plicatoscyllium	extinct	70.101	72.1
Plicatoscyllium	extinct	70.101	72.1
Plicatoscyllium	extinct	66.001	83.6
Plicatoscyllium	extinct	72.101	83.6
Plicatoscyllium	extinct	66.001	70.1
Plicatoscyllium	extinct	66.001	70.1
Plicatoscyllium	extinct	66.001	70.1
Plicatoscyllium	extinct	66.001	70.1
Plicatoscyllium	extinct	66.001	70.1
Plicatoscyllium	extinct	66.001	70.1
Protoginglymostoma	extinct	41.001	47.8
Protoginglymostoma	extinct	47.801	56
Protoginglymostoma	extinct	47.801	56
Protoginglymostoma	extinct	47.801	56
Protoginglymostoma	extinct	47.801	56
Protoginglymostoma	extinct	47.801	56
Pseudoginglymostoma	extant	70.101	72.1
Pseudoginglymostoma	extant	66.001	70.1
Pseudoginglymostoma	extant	66.001	72.1
Pseudoginglymostoma	extant	49	51
Pseudoginglymostoma	extant	51	52.5
Pseudospinax	extinct	96.201	100.5
Pseudospinax	extinct	96.201	100.5
Pseudospinax	extinct	100.501	107.6
Pseudospinax	extinct	100.501	107.6
Pseudospinax	extinct	100.501	107.6
Pseudospinax	extinct	100.501	107.6
Pseudospinax	extinct	100.501	110.2
Pseudospinax	extinct	93.901	100.5
Pseudospinax	extinct	163.101	166.1
Restesia	extinct	66.001	70.1
Restesia	extinct	66.001	70.1
Restesia	extinct	66.001	70.6
Restesia	extinct	66.001	70.6
Restesia	extinct	66.001	70.6
Restesia	extinct	66.001	72.1
Restesia	extinct	72.101	83.6
Restesia	extinct	72.101	83.6
Restesia	extinct	66.001	70.1
Rhincodon	extant	15.971	20.44
Rhincodon	extant	23.031	28.1
Rhincodon	extant	22.3	23.9
Rhincodon	extant	2.589	11.62
Rhincodon	extant	13.821	15.97
Rhincodon	extant	15.971	20.44
Rhincodon	extant	23.031	28.1
Rhincodon	extant	15.971	41.3
Rhincodon	extant	2.589	5.333
Squatiscyllium	extinct	47.801	56
Squatiscyllium	extinct	47.801	59.2
Squatiscyllium	extinct	56.001	59.2
Squatiscyllium	extinct	56.001	59.2
Squatiscyllium	extinct	56.001	59.2
Squatiscyllium	extinct	47.801	56
Squatiscyllium	extinct	41.001	47.8
Stegostoma	extant	33.901	38
Stegostoma	extant	33.901	38
Stegostoma	extant	33.901	38
Stegostoma	extant	28.101	33.9
Stegostoma	extant	38.001	41
