Family	Genus	Species	Latitude	Longitude	References
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.445706	151.449737	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.422819	150.909428	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.800378	151.294079	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714318	152.150858	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.062439	151.159713	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.800437	151.294107	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.799498	151.296464	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.059873	151.15903	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.71009	152.158815	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.80654	151.30621	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.063906	151.158189	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.964237	151.252167	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.71009	152.158815	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.096463	153.207192	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.799211	151.293932	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.063293	151.157084	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714448	152.151632	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.062413	151.15942	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.799301	151.281501	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.679691	152.235281	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714448	152.151632	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714174	152.150782	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714174	152.150782	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.156857	153.20594	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.992116	151.231191	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.454583	151.456417	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.800288	151.294024	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.714174	152.150782	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.447372	151.450236	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.058973	151.159705	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-35.349473	150.479903	Inaturalist
