Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35	start_36	end_36	start_37	end_37	start_38	end_38	start_39	end_39	start_40	end_40	start_41	end_41	start_42	end_42	start_43	end_43	start_44	end_44	start_45	end_45	start_46	end_46	start_47	end_47	start_48	end_48	start_49	end_49	start_50	end_50	start_51	end_51	start_52	end_52	start_53	end_53	start_54	end_54	start_55	end_55	start_56	end_56	start_57	end_57	start_58	end_58	start_59	end_59	start_60	end_60	start_61	end_61	start_62	end_62	start_63	end_63	start_64	end_64	start_65	end_65	start_66	end_66	start_67	end_67	start_68	end_68	start_69	end_69	start_70	end_70	start_71	end_71	start_72	end_72	start_73	end_73	start_74	end_74	start_75	end_75
300	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	1	31	1	3	1	45	1	1	2	2	1	57	3	31	3	12	3	12	3	3	3	3	4	4	12	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	12	19	3	33	19	3	3	3	3	43	33	3	43	1	7	1	1	1	1	1	1	3	1	21	3	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	1	40	5	5	1	5	1	1
310	59	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	16	4	5	5	5	5	5	5	5	5	6	31	9	3	2	45	7	1	2	2	36	57	6	31	4	12	20	12	25	3	3	3	4	4	4	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	26	5	3	4	12	25	6	12	6	20	6	6	2	6	15	26	47	7	2	47	2	9	6	36	3	6	33	15	5	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	1	15	1	33	5	5	1	59	1	1
320	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	16	4	5	5	5	5	5	5	5	5	3	31	4	3	3	45	1	1	1	2	6	57	2	31	37	12	3	12	6	3	6	3	4	4	4	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	4	2	6	1	2	7	37	1	7	26	1	3	26	22	1	22	22	49	42	34	49	3	34	4	3	5	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	6	5	12	6	1	12	5	5	1	5	1	1
330	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	28	31	3	3	6	45	2	1	3	2	3	57	32	31	33	12	2	12	4	3	4	3	4	4	3	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	12	6	4	6	6	6	47	6	32	18	6	4	39	2	9	20	18	3	37	2	3	1	28	6	10	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	17	5	6	5	3	17	1	19	5	5	1	5	1	1
340	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	16	4	5	5	5	5	5	5	5	5	15	31	6	3	3	45	2	1	2	2	3	57	4	31	3	12	3	12	4	3	19	3	4	4	4	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	4	34	37	6	34	6	3	6	20	3	6	4	15	48	2	19	58	3	19	3	3	6	15	19	20	5	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	4	15	1	37	5	5	1	5	1	1
350	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	16	4	4	4	5	5	5	5	5	5	5	5	2	31	4	3	47	45	47	1	2	2	3	57	6	31	6	12	6	12	3	3	3	3	4	4	4	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	4	47	3	6	47	6	6	6	6	16	6	1	16	6	47	12	47	37	12	32	37	17	32	8	17	5	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	35	5	1	35	1	8	5	5	1	5	1	1
360	43	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	16	4	4	4	5	5	5	5	5	5	5	5	23	31	7	3	3	45	1	1	7	2	1	57	5	31	20	12	6	12	37	3	4	3	4	4	12	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	50	12	6	37	6	50	53	20	21	53	21	21	3	21	19	7	1	19	22	7	1	22	3	23	20	3	5	5	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	8	5	1	5	3	8	1	37	5	5	1	43	1	1
370	2	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	1	31	1	3	3	45	1	1	2	2	1	57	4	31	6	12	6	12	3	3	3	3	4	4	12	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	41	5	6	12	4	3	4	20	4	6	4	4	4	4	22	41	2	7	1	9	1	1	1	1	6	1	3	47	5	5	4	4	5	16	5	5	5	5	5	5	5	5	5	5	5	5	5	5	52	5	4	5	3	61	1	3	52	5	1	59	1	1
380	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	1	31	2	3	3	45	1	1	7	2	2	57	4	31	2	12	20	12	3	3	3	3	4	4	4	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	3	2	4	4	36	6	4	53	18	6	53	50	7	2	50	2	2	2	2	6	7	3	6	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	33	5	1	33	5	5	1	5	1	1
390	5	4	5	5	5	5	5	5	5	5	5	5	5	16	5	16	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	5	5	34	31	1	3	4	45	1	1	3	2	50	57	1	31	1	12	1	12	25	3	1	3	4	4	12	12	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	13	5	1	12	48	42	2	48	1	1	17	1	2	32	6	26	4	8	1	4	1	1	2	58	4	34	4	20	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	42	5	5	5	6	57	1	20	5	5	1	5	1	1
