Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	epoch_times[9]	epoch_times[10]	epoch_times[11]	epoch_times[12]	epoch_times[13]	epoch_times[14]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
600	-117.6061	-79.02131	-38.58481	0.525212	0.474788	253.095	225.391	201.057	195.349	153.139	128.745	118.976	84.2476	68.3961	43.2354	20.3605	7.66666	4.00968	0	1.798677	0.474788	0.525212	0.09982185
610	-116.2454	-78.80489	-37.44054	0.194468	0.805532	253.134	234.213	206.502	193.41	157.146	124.007	119.987	88.5813	73.9378	54.9113	27.6895	11.791	4.61888	0	1.170144	0.805532	0.194468	0.1148789
620	-115.6373	-78.31781	-37.31953	0.567518	0.432482	243.865	234.236	205.84	197.767	157.971	122.39	109.607	80.0426	64.4992	58.7678	25.2685	16.0735	4.47963	0	1.166859	0.4324822	0.5675178	0.1023949
630	-115.37	-77.61213	-37.75785	0.118163	0.881837	251.155	229.423	208.845	199.879	149.823	137.824	102.548	86.9925	78.405	48.6552	31.7036	15.2731	4.95302	0	1.510559	0.881837	0.118163	0.08042014
640	-115.285	-77.78324	-37.50177	0.114984	0.885016	242.116	237.964	203.012	182.076	142.82	138.457	102.404	80.7435	77.0419	56.2832	33.6394	15.7907	4.52296	0	1.527218	0.8850155	0.1149845	0.06012284
650	-116.2939	-80.72724	-35.56667	0.424083	0.575917	253.339	237.089	202.928	185.837	145.314	133.943	106.77	80.6408	66.5989	56.4925	34.0208	13.3763	4.5222	0	1.190483	0.5759171	0.4240829	0.0169919
660	-118.5333	-81.56578	-36.96756	0.0462616	0.953738	245.075	233.478	210.786	183.177	146.287	124.541	117.855	92.1387	62.395	58.0032	36.848	13.0286	4.06911	0	0.8729659	0.9537384	0.04626159	0.112488
670	-116.6026	-79.57135	-37.03128	0.0915133	0.908487	243.56	234.865	210.788	182.859	147.614	132.156	104.081	92.0728	64.6509	57.9493	36.9832	16.707	4.78812	0	1.023108	0.9084867	0.0915133	0.09794274
680	-116.6187	-78.65197	-37.96673	0.190305	0.809695	240.523	230.929	215.263	182.43	142.616	136.515	119.16	88.6596	64.3044	58.0524	24.6465	15.1861	4.70147	0	1.729462	0.8096954	0.1903046	0.06237914
690	-115.8596	-78.60204	-37.2576	0.673227	0.326773	243.637	223.179	208.511	181.39	140.164	134.35	114.266	85.7889	79.2762	56.6068	24.6175	10.8824	4.60181	0	1.267636	0.3267725	0.6732275	0.07966226
700	-116.105	-78.92421	-37.1808	0.372794	0.627206	245.045	226.968	212.671	183.654	143.504	137.717	102.888	82.0939	70.9769	58.8292	35.3927	12.1028	4.25571	0	1.018516	0.6272058	0.3727942	0.1145506
710	-117.5961	-79.63008	-37.96599	0.23136	0.76864	240.628	228.439	207.827	180.943	153.905	127.159	105.03	82.6466	78.569	59.4144	38.9768	8.68773	4.37627	0	1.264813	0.7686395	0.2313605	0.162656
720	-116.0108	-78.15387	-37.85698	0.394588	0.605412	240.37	230.65	214.359	181.066	155.752	120.646	106.971	83.5956	74.5351	58.8378	33.7932	13.419	4.69017	0	1.373709	0.6054118	0.3945882	0.117623
730	-117.2027	-78.79704	-38.40569	0.485009	0.514991	244.63	228.961	208.092	197.562	143.334	128.639	103.317	86.2916	75.3228	42.87	37.8248	15.159	4.54166	0	1.852151	0.5149911	0.4850089	0.07442636
740	-114.7827	-77.58973	-37.19302	0.0388998	0.9611	258.678	235.12	205.985	188.232	153.733	139.173	115.524	85.5272	70.3902	51.081	37.1381	16.8414	4.8265	0	1.306005	0.9611002	0.03889985	0.06929825
750	-114.8737	-77.3907	-37.48303	0.351609	0.648391	249.89	224.45	206.652	183.134	148.218	133.413	108.42	80.4618	63.4164	58.3561	34.5852	15.9612	4.84713	0	1.477236	0.6483914	0.3516086	0.06547811
760	-118.1485	-81.39433	-36.75416	0.8116	0.1884	255.084	220.449	204.722	183.633	147.79	122.794	102.831	80.8586	64.0387	58.1798	39.4567	12.1938	4.02968	0	1.271654	0.1884002	0.8115998	0.04777902
770	-125.0096	-87.21646	-37.79316	0.452324	0.547676	254.98	221.979	203.048	184.949	154.3	120.521	101.882	83.2547	73.6333	54.4116	37.2621	7.99817	3.19022	0	0.7445522	0.5476759	0.4523241	0.2842944
780	-116.3284	-78.25021	-38.07816	0.414596	0.585404	258.348	226.158	210.224	182	148.805	121.027	106.931	83.1481	75.6548	51.0529	28.0564	7.21514	4.17564	0	1.69572	0.585404	0.414596	0.07493463
790	-115.6726	-78.83975	-36.8328	0.256558	0.743442	248.37	224.859	211.705	191.128	159.638	120.924	113.696	82.2249	79.2725	52.715	33.3112	9.00649	4.51296	0	1.103885	0.7434416	0.2565584	0.07034568
800	-117.8124	-80.04418	-37.76819	0.072642	0.927358	257.119	222.077	209.237	190.618	157.198	122.479	112.437	90.731	78.2956	42.6724	28.246	5.83457	4.90441	0	1.840525	0.927358	0.07264201	0.04033421
810	-117.7401	-80.85147	-36.88859	0.168658	0.831342	244.393	224.818	209.359	195.666	155.334	122.867	109.577	89.3584	71.3096	41.5586	29.069	5.76669	3.83587	0	1.029905	0.8313424	0.1686576	0.08402054
